,date,Price,Adjusted Price,ExpiryDate,ExercisePrice,Settlement,EndofDayDelta,Volatility,VolatilityForValuation,log_price,one,Intercept,log_variance_constant,instrument_intercept
0,2020-07-02,2.731,2.3261678283293006,2024-12-20,5.0,0.25,29.9618,38.717,38.717,0.8442222046875805,1,1,1,1
1,2020-07-03,2.71,2.3082807816815833,2024-12-20,5.0,0.27,30.6566,38.032,38.032,0.836502997087622,1,1,1,1
2,2020-07-07,2.808,2.391753666037596,2024-12-20,5.0,0.27,30.5772,37.147,37.147,0.8720268483595771,1,1,1,1
3,2020-07-08,2.743,2.3363889978422816,2024-12-20,5.0,0.27,30.4483,37.23,37.23,0.8486065741514787,1,1,1,1
4,2020-07-09,2.697,2.2972078480425204,2024-12-20,5.0,0.23,28.4804,36.824,36.824,0.8316944063536054,1,1,1,1
5,2020-07-10,2.754,2.345758403229181,2024-12-20,5.0,0.22,27.828,36.957,36.957,0.8526087625024756,1,1,1,1
6,2020-07-14,2.835,2.414751297441804,2024-12-20,5.0,0.25,29.1054,36.693,36.693,0.8815962993757278,1,1,1,1
7,2020-07-16,2.83,2.4104924768113953,2024-12-20,5.0,0.25,29.5699,36.275,36.275,0.8798310738511588,1,1,1,1
8,2020-07-17,2.77,2.3593866292464893,2024-12-20,5.0,0.25,29.0497,36.151,36.151,0.8584016823952596,1,1,1,1
9,2020-07-21,2.78,2.367904270507307,2024-12-20,5.0,0.24,28.737,36.0,36.651,0.8620052898985582,1,1,1,1
10,2020-07-22,2.75,2.342351346724854,2024-12-20,5.0,0.22,27.2832,35.0,35.885,0.8511552738744924,1,1,1,1
11,2020-07-23,2.708,2.30657725342942,2024-12-20,5.0,0.21,26.7145,35.0,35.901,0.8357647172460411,1,1,1,1
12,2020-07-24,2.65,2.2571749341166774,2024-12-20,5.0,0.19,25.3758,35.0,35.718,0.8141140021941433,1,1,1,1
13,2020-07-27,2.629,2.2392878874689606,2024-12-20,5.0,0.19,25.5066,36.0,36.16,0.8061579079437567,1,1,1,1
14,2020-07-28,2.647,2.254619641738432,2024-12-20,5.0,0.19,25.2893,35.0,35.74,0.8129812854409767,1,1,1,1
15,2020-07-29,2.621,2.2324737744603063,2024-12-20,5.0,0.19,25.2049,36.0,36.071,0.8031102865372818,1,1,1,1
16,2020-07-31,2.506,2.1345208999609033,2024-12-20,5.0,0.17,23.7561,36.0,36.601,0.7582422186698891,1,1,1,1
17,2020-11-03,2.542,2.2222129706201237,2024-12-20,5.0,0.18,24.5539,39.0,39.138,0.798503532988161,1,1,1,1
18,2020-11-04,2.429,2.123428523066987,2024-12-20,5.0,0.19,25.5494,37.0,37.523,0.7530320102409344,1,1,1,1
19,2020-11-05,2.448,2.140038297434329,2024-12-20,5.0,0.19,25.1761,38.0,38.996,0.7608237248709786,1,1,1,1
20,2020-11-06,2.46,2.150528681245281,2024-12-20,5.0,0.19,25.6602,39.0,39.064,0.7657137101651702,1,1,1,1
21,2020-11-11,2.872,2.5106985254213203,2024-12-20,5.0,0.23,27.7105,34.0,34.01,0.9205610114068766,1,1,1,1
22,2020-11-12,2.856,2.4967113470067166,2024-12-20,5.0,0.23,27.4104,34.0,34.24,0.9149744046982368,1,1,1,1
23,2020-11-13,2.887,2.523811505185011,2024-12-20,5.0,0.23,27.9783,34.0,34.96,0.9257702609016969,1,1,1,1
24,2020-11-17,3.064,2.678544666396562,2024-12-20,5.0,0.25,29.0643,34.0,34.21,0.9852736120992438,1,1,1,1
25,2020-11-18,3.053,2.668928481236522,2024-12-20,5.0,0.26,29.5538,33.0,33.279,0.9816770739736397,1,1,1,1
26,2020-11-19,2.991,2.6147281648799336,2024-12-20,5.0,0.27,30.0314,33.0,33.811,0.96116013986871,1,1,1,1
27,2020-11-20,2.993,2.616476562181759,2024-12-20,5.0,0.25,29.2625,34.0,34.188,0.9618285890914607,1,1,1,1
28,2020-11-24,3.233,2.826284238400811,2024-12-20,5.0,0.26,29.638,33.0,33.516,1.038962858964195,1,1,1,1
29,2020-11-25,3.106,2.715261009734896,2024-12-20,5.0,0.29,31.0738,31.0,31.984,0.9988880849473942,1,1,1,1
30,2020-11-26,3.106,2.715261009734896,2024-12-20,5.0,0.29,31.2295,34.0,34.011,0.9988880849473942,1,1,1,1
31,2020-11-27,3.058,2.673299474491085,2024-12-20,5.0,0.29,31.2891,34.0,34.069,0.9833134677277693,1,1,1,1
32,2020-12-01,3.18,2.779951709902437,2024-12-20,5.0,0.28,30.5673,33.0,33.103,1.0224335570129843,1,1,1,1
33,2020-12-02,3.164,2.7659645314878336,2024-12-20,5.0,0.3,31.8829,33.0,33.481,1.0173894101263063,1,1,1,1
34,2020-12-03,3.148,2.75197735307323,2024-12-20,5.0,0.3,31.7737,33.0,33.644,1.0123196907760557,1,1,1,1
35,2020-12-04,3.196,2.7939388883170406,2024-12-20,5.0,0.3,31.761,33.0,33.885,1.0274523881249273,1,1,1,1
36,2020-12-08,3.117,2.7248771948949355,2024-12-20,5.0,0.29,31.5822,33.0,33.682,1.0024233610060989,1,1,1,1
37,2020-12-09,3.163,2.7650903328369205,2024-12-20,5.0,0.28,30.7358,33.0,33.604,1.0170733045444107,1,1,1,1
38,2020-12-10,3.099,2.709141619178507,2024-12-20,5.0,0.28,30.9724,33.0,33.105,0.9966318390265101,1,1,1,1
39,2020-12-11,2.974,2.5998667878144177,2024-12-20,5.0,0.26,29.6608,33.0,33.082,0.9554602082588624,1,1,1,1
40,2020-12-15,3.066,2.6802930636983873,2024-12-20,5.0,0.23,27.6357,33.0,33.311,0.9859261406705213,1,1,1,1
41,2020-12-16,3.129,2.735367578705888,2024-12-20,5.0,0.23,27.5101,31.0,31.944,1.006265824907644,1,1,1,1
42,2020-12-17,3.16,2.7624677368841826,2024-12-20,5.0,0.26,29.2749,32.0,32.41,1.0161243878197197,1,1,1,1
43,2020-12-18,3.097,2.707393221876681,2024-12-20,5.0,0.27,29.9376,32.0,32.447,0.9959862612119645,1,1,1,1
44,2020-12-22,3.057,2.6724252758401725,2024-12-20,5.0,0.23,27.6789,32.0,32.968,0.9829864031295963,1,1,1,1
45,2020-12-23,3.168,2.769461326091484,2024-12-20,5.0,0.24,28.1636,32.0,32.693,1.0186528341730783,1,1,1,1
46,2020-12-24,3.179,2.779077511251524,2024-12-20,5.0,0.25,29.1187,31.0,31.785,1.0221190421495645,1,1,1,1
47,2020-12-29,3.24,2.8324036289572,2024-12-20,5.0,0.26,29.8669,31.0,31.199,1.0411256900251369,1,1,1,1
48,2020-12-30,3.232,2.8254100397498982,2024-12-20,5.0,0.25,29.0611,30.0,30.737,1.038653500879748,1,1,1,1
49,2020-12-31,3.235,2.828032635702636,2024-12-20,5.0,0.26,29.3723,31.0,31.092,1.0395812881737627,1,1,1,1
50,2021-01-05,3.232,2.8254100397498982,2024-12-20,5.0,0.25,28.6908,30.0,30.918,1.038653500879748,1,1,1,1
51,2021-01-06,3.471,3.034343517318037,2024-12-20,5.0,0.25,28.8186,30.0,30.752,1.1099950971005481,1,1,1,1
52,2021-01-07,3.592,3.1401215540784757,2024-12-20,5.0,0.25,29.0947,27.0,27.466,1.144261510660852,1,1,1,1
53,2021-01-08,3.51,3.068437264703633,2024-12-20,5.0,0.29,31.9597,27.0,27.824,1.1211683976986733,1,1,1,1
54,2021-01-12,3.545,3.099034217485578,2024-12-20,5.0,0.3,32.0084,29.0,29.685,1.1310905202049897,1,1,1,1
55,2021-01-13,3.539,3.093789025580102,2024-12-20,5.0,0.31,32.6907,29.0,29.143,1.1293965615842254,1,1,1,1
56,2021-01-14,3.519,3.076305052561848,2024-12-20,5.0,0.31,32.7411,29.0,29.282,1.1237292185603471,1,1,1,1
57,2021-01-15,3.635,3.1777120960677223,2024-12-20,5.0,0.3,32.0992,29.0,29.075,1.1561614712063815,1,1,1,1
58,2021-01-19,3.573,3.123511779711134,2024-12-20,5.0,0.37,36.0069,30.0,30.16,1.1389579392621716,1,1,1,1
59,2021-01-20,3.571,3.1217633824093087,2024-12-20,5.0,0.35,34.6351,30.0,30.421,1.1383980288332103,1,1,1,1
60,2021-01-21,3.552,3.105153608041967,2024-12-20,5.0,0.32,33.3465,29.0,29.368,1.1330631853508224,1,1,1,1
61,2021-01-22,3.496,3.056198483590855,2024-12-20,5.0,0.33,33.956,30.0,30.174,1.1171718180141879,1,1,1,1
62,2021-01-26,3.428,2.9967529753287905,2024-12-20,5.0,0.29,31.445,31.0,31.24,1.0975293609564323,1,1,1,1
63,2021-01-27,3.425,2.994130379376052,2024-12-20,5.0,0.29,31.2429,29.0,29.878,1.0966538319350874,1,1,1,1
64,2021-01-28,3.469,3.032595120016212,2024-12-20,5.0,0.3,32.1264,30.0,30.63,1.1094187282085115,1,1,1,1
65,2021-01-29,3.402,2.97402381040506,2024-12-20,5.0,0.3,31.8472,29.0,29.761,1.0899158541945688,1,1,1,1
66,2021-02-03,3.52,3.0771792512127605,2024-12-20,5.0,0.31,32.837,29.0,29.813,1.1240133498309046,1,1,1,1
67,2021-02-09,3.667,3.2056864528969293,2024-12-20,5.0,0.32,33.1369,28.0,28.587,1.1649262493100878,1,1,1,1
68,2021-02-10,3.64,3.1820830893222865,2024-12-20,5.0,0.33,34.0602,28.0,28.717,1.1575360418695482,1,1,1,1
69,2021-02-11,3.749,3.2773707422717724,2024-12-20,5.0,0.32,33.316,28.0,28.512,1.187041497974674,1,1,1,1
70,2021-02-12,3.737,3.2668803584608197,2024-12-20,5.0,0.37,36.1768,31.0,31.137,1.1838355107242458,1,1,1,1
71,2021-02-18,3.795,3.317583880213757,2024-12-20,5.0,0.39,37.4199,30.0,30.35,1.1992367710684921,1,1,1,1
72,2021-02-18,3.795,3.317583880213757,2024-12-20,5.0,0.38,36.7756,30.0,30.295,1.1992367710684921,1,1,1,1
73,2021-02-18,3.795,3.317583880213757,2024-12-20,5.0,0.39,37.1783,30.0,30.251,1.1992367710684921,1,1,1,1
74,2021-02-19,3.937,3.4417200886433625,2024-12-20,5.0,0.37,36.2948,30.0,30.585,1.2359713721824992,1,1,1,1
75,2021-02-23,4.027,3.5203979672255072,2024-12-20,5.0,0.45,40.3382,29.0,29.768,1.258574042090216,1,1,1,1
76,2021-02-23,4.027,3.5203979672255072,2024-12-20,5.0,0.31,32.7634,29.0,29.793,1.258574042090216,1,1,1,1
77,2021-02-25,4.014,3.5090333847636423,2024-12-20,5.0,0.45,40.368,29.0,29.899,1.2553406105950453,1,1,1,1
78,2021-02-26,3.956,3.458329863010704,2024-12-20,5.0,0.44,39.8947,30.0,30.065,1.2407857739813646,1,1,1,1
79,2021-02-26,3.956,3.458329863010704,2024-12-20,5.0,0.44,40.0263,29.0,29.927,1.2407857739813646,1,1,1,1
80,2021-03-01,4.046,3.537007741592849,2024-12-20,5.0,0.31,32.4718,30.0,30.841,1.2632810989664527,1,1,1,1
81,2021-03-02,4.05,3.5405045361964995,2024-12-20,5.0,0.45,40.3866,30.0,30.001,1.2642692413393466,1,1,1,1
82,2021-03-03,4.193,3.6655149432770178,2024-12-20,5.0,0.45,40.1439,29.0,29.715,1.2989688284095244,1,1,1,1
83,2021-03-04,4.128,3.6086920309676915,2024-12-20,5.0,0.5,42.7625,29.0,29.686,1.2833453884001604,1,1,1,1
84,2021-03-05,4.074,3.561485303818405,2024-12-20,5.0,0.48,41.6807,29.0,29.799,1.270177678025513,1,1,1,1
85,2021-03-09,4.292,3.7520606097173768,2024-12-20,5.0,0.54,44.3453,29.0,29.909,1.3223051849893508,1,1,1,1
86,2021-03-10,4.24,3.706602279869916,2024-12-20,5.0,0.55,44.59,29.0,29.825,1.3101156294647653,1,1,1,1
87,2021-03-11,4.165,3.6410373810514622,2024-12-20,5.0,0.54,44.1751,30.0,30.367,1.2922686358397049,1,1,1,1
88,2021-03-12,4.195,3.667263340578844,2024-12-20,5.0,0.5,42.6636,30.0,30.18,1.2994457001400685,1,1,1,1
89,2021-03-16,4.107,3.5903338592985246,2024-12-20,5.0,0.5,42.2603,30.0,30.652,1.2782451951953204,1,1,1,1
90,2021-03-17,4.081,3.5676046943747943,2024-12-20,5.0,0.5,42.2004,30.0,30.821,1.2718944166445676,1,1,1,1
91,2021-03-18,4.155,3.6322953945423353,2024-12-20,5.0,0.48,41.7205,30.0,30.824,1.2898647885283105,1,1,1,1
92,2021-03-19,4.036,3.5282657550837215,2024-12-20,5.0,0.51,42.818,30.0,30.594,1.2608064627122613,1,1,1,1
93,2021-03-23,3.865,3.3787777857776473,2024-12-20,5.0,0.43,39.3316,30.0,30.822,1.2175140422602841,1,1,1,1
94,2021-03-24,3.929,3.434726499436061,2024-12-20,5.0,0.39,37.4139,30.0,30.712,1.2339373007972216,1,1,1,1
95,2021-03-25,4.007,3.5029139942072525,2024-12-20,5.0,0.4,38.0717,30.0,30.192,1.2535951918749062,1,1,1,1
96,2021-03-26,4.008,3.5037881928581656,2024-12-20,5.0,0.45,40.2887,30.0,30.846,1.2538447240034625,1,1,1,1
97,2021-03-30,4.144,3.6226792093822953,2024-12-20,5.0,0.45,40.2562,30.0,30.751,1.287213865178081,1,1,1,1
98,2021-03-31,4.05,3.5405045361964995,2024-12-20,5.0,0.49,41.9846,30.0,30.083,1.2642692413393466,1,1,1,1
99,2021-04-01,4.082,3.5684788930257065,2024-12-20,5.0,0.45,40.2183,30.0,30.081,1.272139424608552,1,1,1,1
